state,n_killed
Vermont,57
Rhode Island,63
Hawaii,63
North Dakota,69
Wyoming,73
New Hampshire,88
South Dakota,90
Maine,112
Montana,154
Idaho,166
Delaware,217
Nebraska,225
Alaska,267
Iowa,273
Utah,282
West Virginia,335
Connecticut,341
Oregon,446
District of Columbia,459
Minnesota,461
Massachusetts,472
New Mexico,495
Kansas,542
Arkansas,773
Colorado,796
Washington,853
Nevada,858
Wisconsin,862
Oklahoma,941
Kentucky,1066
Arizona,1094
New Jersey,1168
Mississippi,1176
Virginia,1459
Michigan,1588
Indiana,1608
South Carolina,1610
Maryland,1691
New York,1705
Tennessee,1824
Alabama,1880
Missouri,2136
Louisiana,2179
North Carolina,2225
Pennsylvania,2395
Georgia,2456
Ohio,2508
Illinois,3409
Florida,3909
Texas,5046
California,5562
