city,2014_pop,n_killed,pc_killed,state
Baltimore,624062,172,27.56136409523413,Maryland
Detroit,681499,142,20.83642088983256,Michigan
Las Vegas,611503,108,17.661401497621434,Nevada
Memphis,655788,110,16.773713456177912,Tennessee
Indianapolis,849970,136,16.000564725813852,Indiana
Chicago,2726533,414,15.184118439057954,Illinois
Milwaukee,601202,91,15.136343525137972,Wisconsin
Washington,660797,91,13.771248961481364,District of Columbia
Philadelphia,1564042,213,13.61856011539332,Pennsylvania
Jacksonville,853479,94,11.013744919324319,Florida
Columbus,839646,92,10.956998544624758,Ohio
Fresno,515416,50,9.70090179583094,California
Houston,2238795,217,9.692714160966055,Texas
San Antonio,1435554,117,8.150163630208269,Texas
Dallas,1278504,96,7.508775881811867,Texas
Albuquerque,555793,38,6.837077832934204,New Mexico
Charlotte,808320,55,6.804235946159937,North Carolina
Oklahoma City,620892,38,6.120227028211025,Oklahoma
Los Angeles,3922668,236,6.016313386705171,California
Phoenix,1547729,87,5.6211391012250855,Arizona
