state,n_killed,pop,pc_killed
District of Columbia,100,693972,14.409803277365656
Louisiana,549,4684333,11.719918289327424
Alabama,544,4874747,11.159553511187351
Mississippi,324,2984100,10.857544988438725
Missouri,609,6113532,9.961508339205553
Alaska,69,739795,9.32690812995492
Nevada,259,2998039,8.638980346820038
Maryland,480,6052177,7.9310304374772915
South Carolina,395,5024369,7.861683725856919
Illinois,959,12802023,7.491003570295101
Tennessee,495,6715984,7.370476165517964
Arkansas,216,3004279,7.189745027009808
Oklahoma,249,3930864,6.334485242938958
Georgia,658,10429379,6.309100474726252
Kentucky,273,4454189,6.129061878604613
Indiana,407,6666818,6.104861419645774
Ohio,700,11658609,6.004146806878934
New Mexico,125,2088070,5.986389345184787
Delaware,56,961939,5.821574964732691
North Carolina,556,10273419,5.412024954886002
Kansas,152,2913123,5.217768010482221
Pennsylvania,635,12805537,4.958792434866261
Virginia,385,8470020,4.545443812411305
Florida,950,20984400,4.527172566287337
West Virginia,81,1815857,4.460703678758845
Texas,1169,28304596,4.130071314213423
Arizona,289,7016270,4.118997701057685
Montana,41,1050493,3.9029293864880588
Michigan,369,9962311,3.7039598542948515
Wisconsin,209,5795483,3.6062568037901244
California,1423,39536653,3.5991918688716518
Colorado,199,5607154,3.5490375331228643
Washington,230,7405743,3.105697834774985
New Jersey,275,9005644,3.0536405836162297
Idaho,47,1716943,2.737423432228094
Connecticut,89,3588184,2.4803633258495106
Maine,33,1335907,2.47023183500049
Nebraska,47,1920076,2.4478197738006204
Oregon,99,4142776,2.3897019776111477
Iowa,71,3145711,2.2570414128952088
Utah,70,3101833,2.2567301334404526
South Dakota,19,869666,2.184746787847289
Minnesota,115,5576606,2.062186211469844
North Dakota,15,755393,1.9857213397529498
Massachusetts,128,6859819,1.865938445314665
New York,347,19849399,1.748163760524941
New Hampshire,23,1342795,1.7128452220927246
Wyoming,9,579315,1.5535589446156235
Vermont,9,623657,1.4431009352897506
Rhode Island,11,1059639,1.0380893870459655
Hawaii,8,1427538,0.5604053972643811
