city,n_killed,2017_pop,pc_killed,state
Baltimore,303,611648,49.53829653657005,Maryland
Las Vegas,214,641676,33.35016425735106,Nevada
Memphis,165,652236,25.297591669273086,Tennessee
Detroit,160,673104,23.770472319284984,Michigan
Chicago,574,2716450,21.130519611993595,Illinois
Milwaukee,107,595351,17.972590958946906,Wisconsin
Indianapolis,151,863002,17.497062579229247,Indiana
Washington,100,693972,14.409803277365656,District of Columbia
Philadelphia,223,1580863,14.106219197995017,Pennsylvania
Columbus,120,879170,13.649237348863132,Ohio
Jacksonville,113,892062,12.667280973743976,Florida
Albuquerque,69,558545,12.353525678324933,New Mexico
Houston,264,2312717,11.415145043686712,Texas
Tucson,50,535677,9.33398297854864,Arizona
Oklahoma City,59,643648,9.166500944615692,Oklahoma
Dallas,122,1341075,9.097179501519303,Texas
Charlotte,76,859035,8.847136612594365,North Carolina
Fresno,44,527438,8.342212734008548,California
Sacramento,41,501901,8.168941683718502,California
Boston,49,685094,7.152303187591776,Massachusetts
